date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,8970203.159221051,8646782.127407858,323421.0318131933,0.0,8235779.022341458,734424.1368795922,7913497.7385183815,733284.3888894753,322281.28382307634,1139.7479901169552,0.0,0.0
2040-01-01,10136751.292579124,9559564.677029233,577186.6155498901,0.0,9324024.982183287,812726.3103958381,8748872.394171145,810692.2828580886,575152.5880121406,2034.0275377495084,0.0,0.0
2060-01-01,11387352.289102972,10450404.135708366,936948.1533946078,0.0,10497811.140104648,889541.1489983243,9564164.827560306,886239.3081480605,933646.312544344,3301.8408502638845,0.0,0.0
2080-01-01,12707949.960034098,11303392.166287092,1404557.793747005,0.0,11744423.875855954,963526.0841781438,10344815.797077859,958576.3692092332,1399608.0787780946,4949.714968910537,0.0,0.0
2100-01-01,14081340.262492526,12108810.90474961,1972529.3577429173,0.0,13047509.644884652,1033830.6176078754,11081931.555457002,1026879.3492926079,1965578.0894276497,6951.268315267519,0.0,0.0
2120-01-01,15491654.16696063,12862964.440337166,2628689.7266234676,0.0,14391555.74536597,1100098.4215946635,11772129.621099355,1090834.8192378115,2619426.1242666156,9263.602356851947,0.0,0.0
2140-01-01,16927238.658018842,13566769.00492327,3360469.6530955737,0.0,15764875.755973306,1162362.902045537,12416248.525466925,1150520.479456344,3348627.230506381,11842.422589193106,0.0,0.0
2160-01-01,18381746.397534736,14224223.392672084,4157523.004862652,0.0,17160819.683758628,1220926.7137761107,13017947.947745409,1206275.4449266745,4142871.736013216,14651.268849436383,0.0,0.0
2180-01-01,19853920.76488899,14841173.450150168,5012747.314738824,0.0,18577660.184484195,1276260.5804047945,13582577.981519049,1258595.4686311183,4995082.202965148,17665.11177367618,0.0,0.0
2200-01-01,21346678.7102065,15424416.073584838,5922262.63662166,0.0,20017751.475259997,1328927.2349465047,14116359.116922935,1308056.9566619033,5901392.358337059,20870.278284601434,0.0,0.0
