date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,7176162.527376842,6917425.701926287,258736.82545055464,0.0,6588623.217873167,587539.3095036738,6330798.190814706,586627.5111115802,257825.0270584611,911.7983920935642,0.0,0.0
2040-01-01,8109401.034063299,7647651.741623387,461749.2924399121,0.0,7459219.98574663,650181.0483166706,6999097.915336916,648553.826286471,460122.0704097125,1627.2220301996067,0.0,0.0
2060-01-01,9109881.831282377,8360323.308566693,749558.5227156864,0.0,8398248.912083719,711632.9191986595,7651331.862048245,708991.4465184484,746917.0500354753,2641.4726802111077,0.0,0.0
2080-01-01,10166359.968027279,9042713.733029675,1123646.234997604,0.0,9395539.100684764,770820.867342515,8275852.637662288,766861.0953673866,1119686.4630224758,3959.77197512843,0.0,0.0
2100-01-01,11265072.209994022,9687048.723799689,1578023.486194334,0.0,10438007.715907723,827064.4940863004,8865545.2443656,821503.4794340864,1572462.47154212,5561.014652214016,0.0,0.0
2120-01-01,12393323.333568506,10290371.552269734,2102951.7812987743,0.0,11513244.596292777,880078.7372757308,9417703.696879484,872667.8553902493,2095540.8994132925,7410.881885481558,0.0,0.0
2140-01-01,13541790.926415075,10853415.203938616,2688375.722476459,0.0,12611900.604778646,929890.3216364296,9932998.82037354,920416.3835650752,2678901.784405105,9473.938071354485,0.0,0.0
2160-01-01,14705397.11802779,11379378.714137668,3326018.4038901217,0.0,13728655.747006902,976741.3710208886,10414358.358196327,965020.3559413396,3314297.388810573,11721.015079549106,0.0,0.0
2180-01-01,15883136.611911193,11872938.760120135,4010197.8517910596,0.0,14862128.147587357,1021008.4643238357,10866062.38521524,1006876.3749048947,3996065.7623721184,14132.089418940945,0.0,0.0
2200-01-01,17077342.9681652,12339532.85886787,4737810.109297328,0.0,16014201.180207998,1063141.7879572038,11293087.293538349,1046445.5653295227,4721113.886669647,16696.22262768115,0.0,0.0
