date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,5900395.199115062,5875172.78934592,25222.409769143178,0.0,5418233.217703589,482161.98141147365,5394839.182028834,480333.6073170859,23394.03567475545,1828.3740943877258,0.0,0.0
2040-01-01,6444756.137998253,6391874.0390488235,52882.098949429965,0.0,5918345.414434738,526410.7235635157,5869296.742214196,522577.2968346282,49048.67222054249,3833.4267288874785,0.0,0.0
2060-01-01,7048783.467807129,6947994.008137219,100789.45966991062,0.0,6473433.510267942,575349.9575391863,6379950.284963998,568043.72317322,93483.2253039442,7306.23436596642,0.0,0.0
2080-01-01,7723790.948702856,7547102.7616571,176688.18704575623,0.0,7093958.048361944,629832.9003409115,6930077.999275076,617024.7623820234,163880.0490868681,12808.137958888135,0.0,0.0
2100-01-01,8477430.992413444,8189532.391081619,287898.6013318255,0.0,7787013.639323178,690417.3530902666,7519984.825981616,669547.565100003,267028.813341562,20869.78799026351,0.0,0.0
2120-01-01,9312830.775380712,8872393.195478579,440437.5799021332,0.0,8555527.547623988,757303.2277567232,8147017.316006913,725375.8794716651,408510.23161707516,31927.348285058033,0.0,0.0
2140-01-01,10228786.626873642,9589984.949803619,638801.6770700234,0.0,9398436.177514842,830350.4493588011,8805941.274797328,784043.6750062908,592494.902717513,46306.7743525103,0.0,0.0
2160-01-01,11220780.56434877,10334436.257564709,886344.3067840628,0.0,10311621.995146185,909158.5692025851,9489528.84374596,844907.4138187481,822093.1514002257,64251.15538383703,0.0,0.0
2180-01-01,12282337.735263433,11096497.200825855,1185840.5344375782,0.0,11289165.224291526,993172.5109719073,10189286.345900511,907210.8549253439,1099878.878391015,85961.65604656331,0.0,0.0
2200-01-01,13406251.324483436,11866394.224436024,1539857.1000474123,0.0,12324472.038402496,1081779.2860809392,10896239.277843457,970154.9465925662,1428232.7605590392,111624.33948837315,0.0,0.0
