date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,4720316.15929205,4700138.231476736,20177.927815314542,0.0,4334586.574162872,385729.58512917894,4315871.345623068,384266.88585366873,18715.22853980436,1462.6992755101808,0.0,0.0
2040-01-01,5155804.9103986025,5113499.231239059,42305.67915954397,0.0,4734676.331547791,421128.57885081257,4695437.393771357,418061.8374677026,39238.937776433995,3066.741383109983,0.0,0.0
2060-01-01,5639026.774245704,5558395.2065097755,80631.5677359285,0.0,5178746.808214354,460279.9660313491,5103960.227971199,454434.978538576,74786.58024315536,5844.987492773136,0.0,0.0
2080-01-01,6179032.758962285,6037682.2093256805,141350.549636605,0.0,5675166.438689556,503866.3202727292,5544062.399420061,493619.8099056187,131104.03926949447,10246.51036711051,0.0,0.0
2100-01-01,6781944.793930756,6551625.912865296,230318.8810654604,0.0,6229610.911458543,552333.8824722132,6015987.860785293,535638.0520800025,213623.0506732496,16695.83039221081,0.0,0.0
2120-01-01,7450264.62030457,7097914.556382864,352350.0639217066,0.0,6844422.038099191,605842.5822053786,6517613.852805531,580300.7035773321,326808.18529366015,25541.878628046426,0.0,0.0
2140-01-01,8183029.301498914,7671987.959842895,511041.34165601875,0.0,7518748.942011874,664280.3594870409,7044753.019837863,627234.9400050327,473995.9221740104,37045.41948200824,0.0,0.0
2160-01-01,8976624.451479016,8267549.006051768,709075.4454272502,0.0,8249297.596116949,727326.8553620682,7591623.0749967685,675925.9310549985,657674.5211201806,51400.924307069625,0.0,0.0
2180-01-01,9825870.188210746,8877197.760660684,948672.4275500625,0.0,9031332.179433221,794538.0087775259,8151429.076720409,725768.6839402751,879903.1027128121,68769.32483725065,0.0,0.0
2200-01-01,10725001.059586748,9493115.37954882,1231885.68003793,0.0,9859577.630721997,865423.4288647515,8716991.422274766,776123.957274053,1142586.2084472314,89299.47159069852,0.0,0.0
