date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,8135398.196196038,7954154.812852253,181243.38334378306,0.0,7811230.5445987545,324167.6515972822,7636480.5339564495,317674.2788958042,174750.01064230507,6493.372701477993,0.0,0.0
2040-01-01,8867013.59037607,8577821.246848812,289192.34352725925,0.0,8514070.384050459,352943.20632561203,8235238.88037452,342582.366474292,278831.50367593917,10360.83985132009,0.0,0.0
2060-01-01,9642087.175872061,9202537.195612853,439549.98025920737,0.0,9258807.131432569,383280.0444394945,8835004.825875154,367532.36973770114,423802.30555741396,15747.674701793356,0.0,0.0
2080-01-01,10465995.292972593,9825071.117236521,640924.1757360713,0.0,10050637.795878796,415357.49709379836,9432675.8903766,392395.2268599225,617961.9055021954,22962.270233875795,0.0,0.0
2100-01-01,11342312.377954371,10442490.779828155,899821.5981262174,0.0,10893020.808421627,449291.5695327447,10025436.94992307,417053.82990508445,867583.8584985571,32237.73962766019,0.0,0.0
2120-01-01,12272612.969978418,11052990.568558104,1219622.4014203157,0.0,11787481.721006488,485131.24897193,10611554.50261237,441436.06594573334,1175927.2183941193,43695.18302619661,0.0,0.0
2140-01-01,13256568.240253363,11655962.093817053,1600606.146436311,0.0,12733705.987028383,522862.2532249799,11190444.456794547,465517.6370225041,1543261.5302338353,57344.61620247577,0.0,0.0
2160-01-01,14292371.173299367,12251600.32186893,2040770.8514304382,0.0,13729950.52903878,562420.6442605878,11762293.992140392,489306.329728537,1967656.5368983874,73114.31453205079,0.0,0.0
2180-01-01,15377406.329121271,12840415.322986437,2536991.006134837,0.0,14773691.51284635,603714.8162749232,12327592.807656283,512822.51533015486,2446098.705190068,90892.3009447683,0.0,0.0
2200-01-01,16509000.9236952,13422838.952326516,3086161.9713686835,0.0,15862350.136254046,646650.7874411512,12886755.511000361,536083.4413261553,2975594.625253687,110567.34611499576,0.0,0.0
