date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,14048144.778545568,13338226.3294905,709918.4490550681,0.0,13649091.865490258,399052.91305530985,12945234.355720017,392991.9737704818,703857.50977024,6060.939284828029,0.0,0.0
2040-01-01,15489301.957102766,14404794.37915981,1084507.5779429555,0.0,15055626.064731127,433675.89237164,13980377.486314943,424416.89284486725,1075248.5784161827,9258.999526772797,0.0,0.0
2060-01-01,16996946.382148027,15450452.931556258,1546493.4505917684,0.0,16528517.428227987,468428.9539200391,14995227.188400634,455225.74315562384,1533290.239827353,13203.210764415318,0.0,0.0
2080-01-01,18570034.045288827,16479252.008360758,2090782.0369280707,0.0,18066646.109784957,503387.93550387287,15993714.15549736,485537.85286339885,2072931.9542875967,17850.08264047402,0.0,0.0
2100-01-01,20202430.73328931,17491382.331646048,2711048.4016432636,0.0,19663926.27603902,538504.4572502878,16976023.49032173,515358.84132431634,2687902.785717292,23145.615925971386,0.0,0.0
2120-01-01,21885198.010303713,18484743.31270979,3400454.697593922,0.0,21311539.76024093,573658.2500627815,17940116.495046545,544626.8176632464,3371423.2651943867,29031.432399535104,0.0,0.0
2140-01-01,23609790.572459206,19457109.53709772,4152681.035361489,0.0,23001060.78335683,608729.7891023757,18883833.32390689,573276.213190827,4117227.45944994,35453.5759115487,0.0,0.0
2160-01-01,25370741.50820917,20407386.62064241,4963354.887566764,0.0,24727092.008839075,643649.4993700966,19806111.837216992,601274.7834254162,4920980.1716220835,42374.71594468044,0.0,0.0
2180-01-01,27166989.59401365,21335778.02897692,5831211.565036726,0.0,26488577.015623167,678412.5783904826,20707149.505782805,628628.5231941186,5781427.509840362,49784.05519636399,0.0,0.0
2200-01-01,29001798.823929053,22243404.62718437,6758394.196744684,0.0,28288728.47606576,713070.3478632888,21588034.169983063,655370.4572013036,6700694.3060826985,57699.890661985315,0.0,0.0
