date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,11238515.822836455,10670581.0635924,567934.7592440544,0.0,10919273.492392207,319242.3304442479,10356187.484576015,314393.5790163855,563086.0078161921,4848.751427862423,0.0,0.0
2040-01-01,12391441.565682214,11523835.503327848,867606.0623543644,0.0,12044500.851784902,346940.71389731206,11184301.989051955,339533.5142758938,860198.8627329462,7407.199621418238,0.0,0.0
2060-01-01,13597557.105718423,12360362.345245007,1237194.7604734148,0.0,13222813.942582391,374743.1631360313,11996181.750720508,364180.5945244991,1226632.1918618826,10562.568611532255,0.0,0.0
2080-01-01,14856027.236231063,13183401.606688607,1672625.6295424567,0.0,14453316.887827966,402710.3484030983,12794971.324397888,388430.2822907191,1658345.5634300774,14280.066112379216,0.0,0.0
2100-01-01,16161944.586631447,13993105.865316838,2168838.721314611,0.0,15731141.020831216,430803.56580023025,13580818.792257383,412287.0730594531,2150322.228573834,18516.49274077711,0.0,0.0
2120-01-01,17508158.40824297,14787794.650167832,2720363.7580751376,0.0,17049231.808192745,458926.6000502252,14352093.196037237,435701.4541305972,2697138.6121555096,23225.145919628085,0.0,0.0
2140-01-01,18887832.457967367,15565687.629678175,3322144.8282891912,0.0,18400848.626685467,486983.83128190064,15107066.659125514,458620.9705526617,3293781.9675599523,28362.860729238964,0.0,0.0
2160-01-01,20296593.206567336,16325909.296513928,3970683.9100534115,0.0,19781673.60707126,514919.5994960773,15844889.469773594,481019.826740333,3936784.137297667,33899.77275574436,0.0,0.0
2180-01-01,21733591.675210923,17068622.423181538,4664969.252029381,0.0,21190861.612498537,542730.0627123861,16565719.604626246,502902.81855529494,4625142.00787229,39827.24415709119,0.0,0.0
2200-01-01,23201439.059143245,17794723.701747496,5406715.357395748,0.0,22630982.78085261,570456.2782906311,17270427.33598645,524296.3657610429,5360555.444866159,46159.912529588255,0.0,0.0
