date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,5783891.578972083,5774743.558449689,9148.020522392653,0.0,5535926.289901071,247965.28907101077,5527043.989801341,247699.56864834885,8882.300099730723,265.7204226619298,0.0,0.0
2040-01-01,6302555.5707834475,6282786.773549376,19768.797234071433,0.0,6032489.97753826,270065.59324518713,6013295.399955718,269491.3735936574,19194.577582541664,574.219651529765,0.0,0.0
2060-01-01,6830250.645929474,6791496.629770634,38754.01615883895,0.0,6537813.193863314,292437.45206615934,6500184.856590783,291311.7731798509,37628.337272530494,1125.6788863084648,0.0,0.0
2080-01-01,7372907.951614677,7303183.778035881,69724.1735787966,0.0,7057622.810220264,315285.14139441337,6989923.898481202,313259.8795546787,67698.91173906192,2025.2618397346837,0.0,0.0
2100-01-01,7935918.552554967,7819688.149677904,116230.40287706278,0.0,7597127.821092613,338790.731462354,7484273.535672115,335414.61400578957,112854.28542049835,3376.1174565644305,0.0,0.0
2120-01-01,8523549.187226973,8342455.179772017,181094.00745495703,0.0,8160451.015292788,363098.1719341861,7984617.203317791,357837.97645422583,175833.81197499673,5260.195479960294,0.0,0.0
2140-01-01,9138652.417275684,8872687.767412832,265964.64986285253,0.0,8750345.440423168,388306.97685251647,8492106.203834334,380581.5635784976,258239.23658883362,7725.41327401888,0.0,0.0
2160-01-01,9782719.08779069,9411440.986031061,371278.1017596284,0.0,9368244.02791252,414475.05987816997,9007750.35474957,403690.63128149207,360493.67316295055,10784.428596677877,0.0,0.0
2180-01-01,10456137.68772581,9959573.06816523,496564.61956058093,0.0,10014512.098559795,441625.58916601504,9532371.075914592,427201.9922506369,482141.0226452029,14423.596915378068,0.0,0.0
2200-01-01,11158516.237250028,10517594.62072591,640921.616524118,0.0,10688761.98798987,469754.2492601564,10066457.072468892,451137.54825701826,622304.9155209798,18616.701003138176,0.0,0.0
